fight_id,fighter_id,knockdowns,sig_str_landed,sig_str_att,total_str_landed,total_str_att,takedowns_landed,takedowns_att,sub_att,reversals,control_time,sig_head_landed,sig_head_att,sig_body_landed,sig_body_att,sig_leg_landed,sig_leg_att,sig_distance_landed,sig_distance_att,sig_clinch_landed,sig_clinch_att,sig_ground_landed,sig_ground_att
f7cd0a90da3be3b2,a6d8bfe9e0c8153b,0,13,35,16,38,0,0,1,0,0:00,7,26,1,3,5,6,13,35,0,0,0,0
0b58bd40373b1811,af5b208e97f5d382,1,18,28,24,39,0,0,0,0,0:45,17,26,0,0,1,2,4,10,0,0,14,18
0b58bd40373b1811,2be6596a9db33bf5,0,6,13,9,16,1,4,0,0,0:38,0,7,1,1,5,5,2,9,4,4,0,0
ec8ad2966a6816b3,d74cba8566291bfa,0,27,56,33,62,1,1,1,1,1:48,17,43,5,6,5,7,24,46,3,7,0,3
ec8ad2966a6816b3,5669b828e7e11329,0,10,24,12,27,2,2,1,1,1:00,4,13,3,4,3,7,6,17,4,7,0,0
edeba52fc9b2855f,59583ff832fe9d68,0,13,26,27,40,0,0,0,0,2:46,10,23,2,2,1,1,7,15,2,4,4,7
edeba52fc9b2855f,5114f1b5ad4cdf72,0,5,14,9,18,1,3,0,0,0:58,1,8,3,5,1,1,0,5,5,9,0,0
59bd4e83d8f846ee,a08d909a5be6f410,0,8,15,13,20,1,1,2,0,1:06,8,15,0,0,0,0,5,11,2,3,1,1
59bd4e83d8f846ee,d1dcd4e96464a53d,0,1,2,3,4,0,0,0,0,0:00,0,1,0,0,1,1,0,1,1,1,0,0
09b36c7157770516,4d44f37107f01b9b,0,8,15,37,46,1,2,0,0,4:36,8,15,0,0,0,0,0,0,1,3,7,12
09b36c7157770516,b959e8c7fd8390d2,0,1,5,8,12,0,0,0,0,0:00,1,5,0,0,0,0,0,4,0,0,1,1
52e07b6540fad19e,2db7fa8db6bc9632,0,2,6,36,44,1,2,0,0,4:18,2,6,0,0,0,0,0,3,0,0,2,3
52e07b6540fad19e,3c0437fbeda06962,0,4,14,11,26,0,0,0,0,0:00,1,11,2,2,1,1,3,13,0,0,1,1
bacb62c4f2058fd8,37b1696e6d115957,1,15,24,41,53,0,1,2,0,2:53,8,15,7,8,0,1,9,15,0,0,6,9
bacb62c4f2058fd8,b18fb36a4aa00093,0,0,16,2,20,0,0,0,0,0:08,0,15,0,1,0,0,0,16,0,0,0,0
041dd0fae4650970,ee779c43a8926d52,0,7,22,7,22,0,0,0,0,0:00,4,19,1,1,2,2,7,22,0,0,0,0
041dd0fae4650970,fcffee71cff5530e,0,14,62,14,62,0,0,0,0,0:00,4,44,3,7,7,11,14,62,0,0,0,0
02c54d382fb1c347,1ff9589f9065a9ed,2,29,74,31,78,1,1,0,0,0:38,22,64,2,3,5,7,20,58,1,2,8,14
02c54d382fb1c347,ee9d73f4fee9cbdd,0,8,27,13,32,0,0,0,0,0:00,8,26,0,1,0,0,7,24,0,1,1,2
b8927a3a2735acb0,5d7bdab5e03e3216,0,9,19,29,40,1,1,0,0,2:00,8,16,1,3,0,0,3,8,0,2,6,9
b8927a3a2735acb0,5b2d7906aa894274,1,3,6,8,12,0,0,2,0,0:05,3,6,0,0,0,0,3,6,0,0,0,0
c62d5962b99938de,ffc088e64fab57e9,1,11,20,11,20,0,1,0,0,0:02,10,19,0,0,1,1,9,18,0,0,2,2
c62d5962b99938de,a1f6999fe57236e0,0,7,26,7,26,0,0,0,0,0:00,4,21,0,0,3,5,6,25,1,1,0,0
b3f4583109b429af,1eacf73d6a0055dc,1,34,44,73,84,1,1,0,0,1:17,23,32,2,2,9,10,6,11,6,6,22,27
b3f4583109b429af,1cf1310684a841f5,0,4,9,7,12,0,7,0,0,1:33,0,4,1,2,3,3,1,5,3,4,0,0
4918b7e3600f67a1,acff437707625fc7,0,11,16,29,35,0,0,0,0,2:47,10,15,1,1,0,0,9,14,1,1,1,1
